service_id,date,exception_type
7,20231125,1
33,20231222,1
52,20231203,1
53,20231218,1
53,20231219,1
53,20231220,1
53,20231221,1
54,20231223,1
55,20231224,1
56,20231226,1
56,20231227,1
56,20231228,1
57,20231229,1
58,20231230,1
59,20231225,1
60,20231209,1
60,20231216,1
60,20231223,1
60,20231230,1
61,20231202,1
62,20231123,1
62,20231126,1
62,20231210,1
62,20231217,1
62,20231224,1
62,20231225,1
63,20231121,1
63,20231122,1
63,20231127,1
63,20231128,1
63,20231129,1
63,20231130,1
63,20231204,1
63,20231205,1
63,20231206,1
63,20231207,1
63,20231211,1
63,20231212,1
63,20231213,1
63,20231214,1
63,20231218,1
63,20231219,1
63,20231220,1
63,20231221,1
63,20231226,1
63,20231227,1
63,20231228,1
64,20231124,1
64,20231201,1
64,20231208,1
64,20231215,1
64,20231222,1
64,20231229,1
65,20231209,1
65,20231216,1
66,20231125,1
66,20231202,1
67,20231126,1
67,20231203,1
68,20231123,1
68,20231210,1
68,20231217,1
69,20231121,1
69,20231122,1
69,20231127,1
69,20231128,1
69,20231129,1
69,20231130,1
69,20231204,1
69,20231205,1
69,20231206,1
69,20231207,1
69,20231211,1
69,20231212,1
69,20231213,1
69,20231214,1
70,20231124,1
70,20231201,1
70,20231208,1
70,20231215,1
71,20231218,1
71,20231219,1
71,20231220,1
71,20231221,1
71,20231226,1
71,20231227,1
71,20231228,1
