pathway_id,from_stop_id,to_stop_id,pathway_mode,is_bidirectional,length,traversal_time,stair_count,max_slope,min_width,signposted_as,reversed_signposted_as
N06_191033,ENT_N06_S_PAV,NODE_N06_S_PAV_ESC_TP,4,0,76.22176515,37,,,,Metro - Wiehle-Reston East Station,
N06_191032,ENT_N06_S_PAV,NODE_N06_S_PAV_ESC_TP,2,1,68.86380379,43,30,,,Metro - Wiehle-Reston East Station,Exit
N06_191031,NODE_N06_S_PAV_ESC_TP,ENT_N06_S_PAV,4,0,76.72335487,37,,,,,Exit
N06_191018,ENT_N06_N,NODE_N06_MZ,1,1,346.699834,75,,,,Metro - Wiehle-Reston East Station,Exit to North Entrance
N06_191067,ENT_N06_S_PAV_EL,NODE_N06_S_PAV_ELV_BT,1,1,10.06155874,2,,,,Elevator to Pedestrian Bridge,
N06_191027,NODE_N06_S_PAV_ELV_BT,NODE_N06_S_PAV_ELV_TP,5,1,3.670250597,180,,,,,
N06_191020,NODE_N06_S_PAV_ELV_TP,NODE_N06_S_PAV_ESC_TP,1,1,18.8363862,4,,,,,Elevator to Street
N06_191019,NODE_N06_S_PAV_ESC_TP,NODE_N06_MZ,1,1,270.9234507,59,,,,,Exit to South Entrance
N06_191017,NODE_N06_MZ,NODE_N06_MZ_FG_UNPAID,1,1,28.10545109,6,,,,,
N06_191001,NODE_N06_MZ_FG_UNPAID,NODE_N06_MZ_FG_PAID,6,0,6.128273465,3,,,,,
N06_191048,NODE_N06_MZ_FG_PAID,NODE_N06_MZ_FG_UNPAID,7,0,6.128273465,3,,,,,
N06_191007,NODE_N06_MZ_FG_PAID,NODE_N06_MZ_ELV_TP,1,1,65.75602265,14,,,,"Elevator, Wheelchair accessible",Exit to Buses and Parking
N06_191003,NODE_N06_MZ_FG_PAID,NODE_N06_MZ_ESC1_TP,1,1,96.17761984,21,,,,,Exit to Buses and Parking
N06_191008,NODE_N06_MZ_ELV_TP,NODE_N06_MZ_ESC1_TP,1,1,72.0752889,16,,,,,
N06_191035,NODE_N06_MZ_ESC1_TP,NODE_N06_MZ_ESC1_BT,4,0,60.8769952,30,,,,Trains,Exit
N06_191034,NODE_N06_MZ_ESC1_TP,NODE_N06_MZ_ESC1_BT,2,1,60.97884193,41,-28,,,Trains,Exit
N06_191040,NODE_N06_MZ_ELV_TP,NODE_N06_MZ_ELV_BT,5,1,3.588583196,180,,,,,
N06_191050,NODE_N06_MZ_ELV_BT,NODE_N06_MZ_ESC2_BT,1,1,189.6614501,41,,,,,
N06_191037,NODE_N06_MZ_ESC2_BT,NODE_N06_MZ_ESC2_TP,4,0,60.35839942,30,,,,Exit,
N06_191036,NODE_N06_MZ_ESC2_BT,NODE_N06_MZ_ESC2_TP,2,1,60.55499457,40,28,,,Exit,Trains
N06_191013,NODE_N06_MZ_ESC2_TP,NODE_N06_MZ_FG_PAID,1,1,167.4433731,36,,,,,
N06_191054,NODE_N06_MZ_ESC1_BT,PLF_N06_SV_DOWNTOWN_LARGO,1,1,10.14258252,2,,,,Silver Line - Wiehle-Reston East to Downtown Largo,
N06_191056,PLF_N06_SV_DOWNTOWN_LARGO,NODE_N06_MZ_ESC2_BT,1,1,79.07903725,17,,,,,
N06_191014,NODE_N06_MZ_ELV_BT,PLF_N06_SV_DOWNTOWN_LARGO,1,1,110.5824146,24,,,,Silver Line - Wiehle-Reston East to Downtown Largo,"Elevator, Wheelchair accessible"
N06_191015,PLF_N06_SV_DOWNTOWN_LARGO,PF_N06_C,1,1,16.74958245,4,,,,,
N04_190070,ENT_N04_S_PAV,NODE_N04_S_PAV_ESC_TP,4,0,66.75089847,33,,,,Metro - Spring Hill Station,
N04_190069,ENT_N04_S_PAV,NODE_N04_S_PAV_ESC_TP,2,1,67.87030378,45,30,,,Metro - Spring Hill Station,
N04_190067,ENT_N04_S_PAV_EL,NODE_N04_S_PAV_ELE_BT,1,1,14.85325594,3,,,,"Elevator to Pedestrian Bridge, Wheelchair Accessible",
N04_190066,NODE_N04_S_PAV_ELE_BT,NODE_N04_S_PAV_ELE_TP,5,1,3.762422053,180,,,,,
N04_190062,NODE_N04_S_PAV_ELE_TP,NODE_N04_S_PAV_ESC_TP,1,1,22.92928212,5,,,,,"Elevator to Street, Wheelchair Accessible"
N04_190084,ENT_N04_N_PAV,NODE_N04_N_PAV_ESC_TP,4,0,83.85646226,42,,,,Metro - Spring Hill Station,
N04_190083,ENT_N04_N_PAV,NODE_N04_N_PAV_ESC_TP,2,1,75.01594423,50,30,,,Metro - Spring Hill Station,
N04_190080,ENT_N04_N_PAV_EL,NODE_N04_N_PAV_ELE_BT,5,1,12.4694155,3,,,,"Elevator to Pedestrian Bridge, Wheelchair Accessible",
N04_190078,NODE_N04_N_PAV_ELE_BT,NODE_N04_N_PAV_ELE_TP,5,1,3.714515176,180,,,,,
N04_190076,NODE_N04_N_PAV_ELE_TP,NODE_N04_N_PAV_ESC_TP,1,1,21.54972357,5,,,,,"Elevator to Street, Wheelchair Accessible"
N04_190057,NODE_N04_N_PAV_ESC_TP,NODE_N04_M,1,1,207.7771724,45,,,,,Exit to North Entrance and Buses
N04_190058,NODE_N04_S_PAV_ESC_TP,NODE_N04_M,1,1,117.1704368,25,,,,,Exit to South Entrance
N04_190056,NODE_N04_M,NODE_N04_MZ_FG_UNPAID,1,1,48.0805594,10,,,,,
N04_190055,NODE_N04_MZ_FG_UNPAID,NODE_N04_MZ_FG_PAID,6,0,6.227804354,3,,,,,
N04_190101,NODE_N04_MZ_FG_PAID,NODE_N04_MZ_FG_UNPAID,7,0,6.227804354,3,,,,,
N04_190053,NODE_N04_MZ_FG_PAID,NODE_N04_MZ_ESC1_BT,1,1,73.40762293,16,,,,,
N04_190041,NODE_N04_MZ_FG_PAID,NODE_N04_MZ_ELV_BT,1,1,168.8129483,37,,,,"Elevator, Wheelchair Accessible",
N04_190043,NODE_N04_MZ_FG_PAID,NODE_N04_MZ_ESC2_BT,1,1,192.2627386,42,,,,,
N04_190032,NODE_N04_MZ_ESC1_BT,NODE_N04_MZ_ESC1_TP,4,0,78.64790899,39,,,,Trains,
N04_190048,NODE_N04_MZ_ESC1_BT,NODE_N04_MZ_ESC1_TP,2,1,78.40501371,52,32,,,Trains,Exit
N04_190036,NODE_N04_MZ_ELV_BT,NODE_N04_MZ_ELV_TP,5,1,3.604455355,180,,,,,
N04_190051,NODE_N04_MZ_ESC1_BT,NODE_N04_MZ_ELV_BT,1,1,127.7243439,28,,,,"Elevator, Wheelchair Accessible",
N04_190038,NODE_N04_MZ_ESC2_BT,NODE_N04_MZ_ELV_BT,1,1,53.83929601,12,,,,"Elevator, Wheelchair Accessible",
N04_190042,NODE_N04_MZ_ESC1_BT,NODE_N04_MZ_ESC2_BT,1,1,151.943525,33,,,,,
N04_190030,NODE_N04_MZ_ESC2_TP,NODE_N04_MZ_ESC2_BT,4,0,78.90641151,39,,,,Exit,
N04_190031,NODE_N04_MZ_ESC2_TP,NODE_N04_MZ_ESC2_BT,2,1,79.21484763,53,32,,,Exit,Trains
N04_190012,NODE_N04_MZ_ESC2_TP,NODE_N04_MZ_ELV_TP,1,1,136.8258555,30,,,,,
N04_190024,NODE_N04_MZ_ESC2_TP,NODE_N04_MZ_ESC1_TP,1,1,159.9862358,35,,,,,
N04_190023,NODE_N04_MZ_ESC1_TP,NODE_N04_MZ_ELV_TP,1,1,57.00534061,12,,,,,
N04_190018,NODE_N04_MZ_ESC2_TP,PLF_N04_SV_DOWNTOWN_LARGO,1,1,123.7598705,27,,,,Silver Line - Trains to Downtown Largo,
N04_190017,NODE_N04_MZ_ESC2_TP,PLF_N04_SV_WIEHLE_RESTON_EAST,1,1,120.9118553,26,,,,Silver Line - Trains to Wiehle - Reston East,
N04_190020,NODE_N04_MZ_ELV_TP,PLF_N04_SV_DOWNTOWN_LARGO,1,1,20.52933738,4,,,,Silver Line - Trains to Downtown Largo,"Elevator, Wheelchair Accessible"
N04_190019,NODE_N04_MZ_ELV_TP,PLF_N04_SV_WIEHLE_RESTON_EAST,1,1,15.91400019,3,,,,Silver Line - Trains to Wiehle - Reston East,"Elevator, Wheelchair Accessible"
N04_190022,NODE_N04_MZ_ESC1_TP,PLF_N04_SV_DOWNTOWN_LARGO,1,1,36.47600323,8,,,,Silver Line - Trains to Downtown Largo,
N04_190021,NODE_N04_MZ_ESC1_TP,PLF_N04_SV_WIEHLE_RESTON_EAST,1,1,39.07438313,8,,,,Silver Line - Trains to Wiehle - Reston East,
N04_190082,NODE_N04_N_PAV_ESC_TP,ENT_N04_N_PAV,4,0,83.90845094,42,,,,,
N04_190102,PLF_N04_SV_DOWNTOWN_LARGO,PF_N04_C,1,1,12.89337034,3,,,,,
N04_190103,PLF_N04_SV_WIEHLE_RESTON_EAST,PF_N04_C,1,1,12.21154849,3,,,,,
N03_189076,ENT_N03_S_PAV,NODE_N03_S_PAV_ESC_TP,4,0,79.41612651,40,,,,Metro - Greensboro Station,
N03_189077,ENT_N03_S_PAV,NODE_N03_S_PAV_ESC_TP,2,1,78.16455359,52,42,,,Metro - Greensboro Station,
N03_189051,ENT_N03_S_PAV_EL,NODE_N03_S_PAV_ELE_BT,1,1,13.89318422,3,,,,"Elevator to Pedestrian Bridge, Wheelchair Accessible",
N03_189048,NODE_N03_S_PAV_ELE_BT,NODE_N03_S_PAV_ELE_TP,5,1,3.54491702,180,,,,,
N03_189013,NODE_N03_S_PAV_ELE_TP,NODE_N03_S_PAV_ESC_TP,1,1,20.29043561,4,,,,,"Elevator to Street, Wheelchair Accessible"
N03_189082,ENT_N03_N_PAV,NODE_N03_N_PAV_ESC_TP,2,1,78.37532682,52,42,,,Metro - Greensboro Station,
N03_189083,ENT_N03_N_PAV,NODE_N03_N_PAV_ESC_TP,4,0,75.17977927,38,,,,Metro - Greensboro Station,
N03_189045,ENT_N03_N_PAV_EL,NODE_N03_N_PAV_ELV_BT,1,1,13.83068706,3,,,,"Elevator to Pedestrian Bridge, Wheechair Accessible",
N03_189043,NODE_N03_N_PAV_ELV_BT,NODE_N03_N_PAV_ELV_TP,5,1,3.61203108,180,,,,,
N03_189040,NODE_N03_N_PAV_ELV_TP,NODE_N03_N_PAV_ESC_TP,1,1,27.283353,6,,,,,"Elevator to Street, Wheechair Accessible"
N03_189007,NODE_N03_N_PAV_ESC_TP,NODE_N03_MZ,1,1,159.3116989,35,,,,,Exit to North Entrance
