stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,location_type,parent_station,wheelchair_boarding,level_id
STN_N12,ASHBURN METRORAIL STATION,,39.005283,-77.491537,0,1,,1,
STN_N11,LOUDOUN GATEWAY METRORAIL STATION,,38.99204,-77.460685,0,1,,1,
STN_N10,WASHINGTON DULLES INTERNATIONAL AIRPORT METRORAIL STATION,,38.955784,-77.448148,0,1,,1,
STN_N09,INNOVATION CENTER METRORAIL STATION,,38.960758,-77.415295,0,1,,1,
STN_N08,HERNDON METRORAIL STATION,,38.952821,-77.385178,0,1,,1,
STN_N07,RESTON TOWN CENTER METRORAIL STATION,,38.952768,-77.360185,0,1,,1,
STN_N06,WIEHLE-RESTON EAST METRORAIL STATION,,38.94783193,-77.34031555,91,1,,1,
STN_N04,SPRING HILL METRORAIL STATION,,38.92921225,-77.24189135,90,1,,1,
STN_N03,GREENSBORO METRORAIL STATION,,38.9212686,-77.23416237,89,1,,1,
STN_N02,TYSONS METRORAIL STATION,,38.92068462,-77.22158868,88,1,,1,
STN_N01,MCLEAN METRORAIL STATION,,38.92433888,-77.21053,87,1,,1,
STN_K08,VIENNA METRORAIL STATION,,38.87757822,-77.2724589,3,1,,1,
STN_K07,DUNN LORING METRORAIL STATION,,38.8836488,-77.22724305,3,1,,1,
STN_K06,WEST FALLS CHURCH METRORAIL STATION,,38.9007884,-77.18922099,2,1,,1,
STN_K05,EAST FALLS CHURCH METRORAIL STATION,,38.88602629,-77.15694404,1,1,,1,
STN_K04,BALLSTON-MU METRORAIL STATION,,38.8822602,-77.11322048,1,1,,1,
STN_K03,VIRGINIA SQ-GMU METRORAIL STATION,,38.88343309,-77.10302399,58,1,,1,
STN_K02,CLARENDON METRORAIL STATION,,38.88673936,-77.09544242,1,1,,1,
STN_K01,COURT HOUSE METRORAIL STATION,,38.89015263,-77.08714356,1,1,,1,
STN_J03,FRANCONIA-SPRINGFIELD METRORAIL STATION,,38.76650549,-77.16799097,3,1,,1,
STN_J02,VAN DORN ST METRORAIL STATION,,38.79929181,-77.12926966,71,1,,1,
STN_G05,DOWNTOWN LARGO METRORAIL STATION,,38.90051057,-76.84465397,86,1,,1,
STN_G04,MORGAN BLVD METRORAIL STATION,,38.89400109,-76.86770736,85,1,,1,
STN_G03,ADDISON RD METRORAIL STATION,,38.88673121,-76.8941346,1,1,,1,
STN_G02,CAPITOL HEIGHTS METRORAIL STATION,,38.88942916,-76.91183314,5,1,,1,
STN_G01,BENNING RD METRORAIL STATION,,38.89106901,-76.93861946,10,1,,1,
STN_F11,BRANCH AVE METRORAIL STATION,,38.82671771,-76.9118167,83,1,,1,
STN_F10,SUITLAND METRORAIL STATION,,38.84466776,-76.93286932,82,1,,1,
STN_F09,NAYLOR RD METRORAIL STATION,,38.85112092,-76.95660457,81,1,,1,
STN_F08,SOUTHERN AVE METRORAIL STATION,,38.84095364,-76.97521082,80,1,,1,
STN_F07,CONGRESS HEIGHTS METRORAIL STATION,,38.84569521,-76.98843915,79,1,,1,
STN_F06,ANACOSTIA METRORAIL STATION,,38.86328678,-76.99555939,10,1,,1,
STN_F05,NAVY YARD-BALLPARK METRORAIL STATION,,38.87647255,-77.0058773,10,1,,1,
STN_F04,WATERFRONT METRORAIL STATION,,38.87645595,-77.01755936,10,1,,1,
STN_F02,ARCHIVES METRORAIL STATION,,38.89322449,-77.02190866,10,1,,1,
STN_E10,GREENBELT METRORAIL STATION,,39.01109343,-76.91119726,8,1,,1,
STN_E09,COLLEGE PARK-U OF MD METRORAIL STATION,,38.97830324,-76.92834004,8,1,,1,
STN_E08,HYATTSVILLE CROSSING METRORAIL STATION,,38.96529153,-76.95642247,5,1,,1,
STN_E07,WEST HYATTSVILLE METRORAIL STATION,,38.95527582,-76.96949977,5,1,,1,
STN_E05,GEORGIA AVE-PETWORTH METRORAIL STATION,,38.93736709,-77.02353736,78,1,,1,
STN_E04,COLUMBIA HEIGHTS METRORAIL STATION,,38.92750233,-77.03252102,77,1,,1,
STN_E03,U ST METRORAIL STATION,,38.91700896,-77.02752021,70,1,,1,
STN_E02,SHAW-HOWARD U METRORAIL STATION,,38.91351778,-77.02192262,69,1,,1,
STN_E01,MT VERNON SQ METRORAIL STATION,,38.90657966,-77.02192049,66,1,,1,
STN_D13,NEW CARROLLTON METRORAIL STATION,,38.94802813,-76.8718705,8,1,,1,
STN_D12,LANDOVER METRORAIL STATION,,38.93350374,-76.89126522,5,1,,1,
STN_D11,CHEVERLY METRORAIL STATION,,38.91664068,-76.91666181,5,1,,1,
STN_D10,DEANWOOD METRORAIL STATION,,38.9082237,-76.93516312,10,1,,1,
STN_D09,MINNESOTA AVE METRORAIL STATION,,38.89916816,-76.94674282,10,1,,1,
STN_D08,STADIUM-ARMORY METRORAIL STATION,,38.88692677,-76.97707387,10,1,,1,
STN_D07,POTOMAC AVE METRORAIL STATION,,38.8812707,-76.98557963,10,1,,1,
STN_D06,EASTERN MARKET METRORAIL STATION,,38.88463248,-76.99607485,10,1,,1,
STN_D05,CAPITOL SOUTH METRORAIL STATION,,38.88507317,-77.00521546,10,1,,1,
STN_D04,FEDERAL CENTER SW METRORAIL STATION,,38.88507577,-77.01593741,10,1,,1,
STN_D03_F03,L'ENFANT PLAZA METRORAIL STATION,,38.8848935,-77.02191272,10,1,,1,
STN_D02,SMITHSONIAN METRORAIL STATION,,38.8885055,-77.02863058,50,1,,1,
STN_D01,FEDERAL TRIANGLE METRORAIL STATION,,38.8938337,-77.02813189,10,1,,1,
STN_C15,HUNTINGTON METRORAIL STATION,,38.79382977,-77.07530039,2,1,,1,
STN_C14,EISENHOWER AVE METRORAIL STATION,,38.8003537,-77.07115634,1,1,,1,
STN_C13,KING ST-OLD TOWN METRORAIL STATION,,38.80660864,-77.0609744,1,1,,1,
STN_C12,BRADDOCK RD METRORAIL STATION,,38.81408652,-77.05372176,7,1,,1,
STN_C11,POTOMAC YARD/VT METRORAIL STATION,,38.8332,-77.046422,1,1,,1,
STN_C10,RONALD REAGAN WASHINGTON NATIONAL AIRPORT METRORAIL STATION,,38.85350503,-77.04404792,11,1,,1,
STN_C09,CRYSTAL CITY METRORAIL STATION,,38.85784574,-77.05057183,11,1,,1,
STN_C08,PENTAGON CITY METRORAIL STATION,,38.86185214,-77.05951586,43,1,,1,
STN_C07,PENTAGON METRORAIL STATION,,38.86919464,-77.05411341,42,1,,1,
STN_C06,ARLINGTON CEMETERY  METRORAIL STATION,,38.88458844,-77.06309959,3,1,,1,
STN_C05,ROSSLYN METRORAIL STATION,,38.89603409,-77.07083752,11,1,,1,
STN_C04,FOGGY BOTTOM-GWU METRORAIL STATION,,38.90069997,-77.05010428,10,1,,1,
STN_C03,FARRAGUT WEST  METRORAIL STATION,,38.90134189,-77.04046401,10,1,,1,
STN_C02,MCPHERSON SQ METRORAIL STATION,,38.90134166,-77.03343315,10,1,,1,
STN_B35,NOMA-GALLAUDET U METRORAIL STATION,,38.90661683,-77.00331114,84,1,,1,
STN_B11,GLENMONT METRORAIL STATION,,39.0617673,-77.05354802,1,1,,1,
STN_B10,WHEATON METRORAIL STATION,,39.03754324,-77.0501104,7,1,,1,
STN_B09,FOREST GLEN METRORAIL STATION,,39.01494587,-77.04292734,4,1,,1,
STN_B08,SILVER SPRING METRORAIL STATION,,38.99379857,-77.03130704,4,1,,1,
STN_B07,TAKOMA METRORAIL STATION,,38.97602203,-77.01812559,10,1,,1,
STN_B06_E06,FORT TOTTEN METRORAIL STATION,,38.95178626,-77.00229579,10,1,,1,
STN_B05,BROOKLAND-CUA METRORAIL STATION,,38.93312552,-76.99454629,10,1,,1,
STN_B04,RHODE ISLAND AVE METRORAIL STATION,,38.92091636,-76.99594187,10,1,,1,
STN_B03,UNION STATION METRORAIL STATION,,38.89749513,-77.0074665,55,1,,1,
STN_B02,JUDICIARY SQ METRORAIL STATION,,38.8962183,-77.01680402,32,1,,1,
STN_B01_F01,GALLERY PLACE METRORAIL STATION,,38.8983797,-77.02280227,10,1,,1,
STN_A15,SHADY GROVE METRORAIL STATION,,39.11992667,-77.16466928,7,1,,1,
STN_A14,ROCKVILLE METRORAIL STATION,,39.08427172,-77.14619289,7,1,,1,
STN_A13,TWINBROOK  METRORAIL STATION,,39.06269642,-77.12121591,7,1,,1,
STN_A12,NORTH BETHESDA METRORAIL STATION,,39.04853893,-77.11307619,4,1,,1,
STN_A11,GROSVENOR-STRATHMORE METRORAIL STATION,,39.02973159,-77.10411655,7,1,,1,
STN_A10,MEDICAL CENTER METRORAIL STATION,,38.99822547,-77.09675826,4,1,,1,
STN_A09,BETHESDA METRORAIL STATION,,38.98327505,-77.09365421,4,1,,1,
